,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
885121,166132057401740845,0.057569634,0.9457538408512713,243.325147591376,-22.984961188047052,0.009585405374653692
885162,166122057293132354,0.5595765,0.9353653573059522,2080.199193242435,-21.638748063236555,3.7956781346419755e-05
885222,166162057249498821,0.045180205,0.860440129745899,191.51041766739374,-22.16017491735012,0.007239109736368666
885255,166162057524858719,0.04738214,0.8924061708278379,200.7410904956383,-20.44015532865067,0.0013514176085317067
885343,166162056811584166,0.20282224,0.8820913092750955,827.6656565192861,-21.876368458602826,0.0002984265882294422
885613,151532057479639720,0.06294372,0.9671950578431373,265.7056687471595,-20.590384374479918,0.0008858335194051202
886121,151412056856682952,0.5601344,0.9214225426233082,2081.9616134829807,-21.461712940507095,3.219139080510293e-05
886234,151482057650299560,0.18370426,0.8544057827769123,753.2224403738309,-21.482937586652312,0.00025080057864248725
887963,151542057766237262,0.049817123,0.9672666917800923,210.93820172133908,-20.430757484723486,0.001213367939063865
888034,151252057287180001,0.056326006,0.8833043893124428,238.13840441148355,-20.570711782273506,0.0010829934601733907
890271,151542056865160971,0.04381961,0.8577032990650426,185.80136102073527,-21.223464834035468,0.00324554886114955
890677,151432056356023508,0.043273132,0.9092494288264467,183.5079140997944,-22.40257728315793,0.00985646799074781
891398,151442057072056940,0.04170729,0.836168756171054,176.93187495745067,-20.170756256672583,0.001357345298894655
891609,151392057533589391,0.045848858,0.9280246461187545,194.3143828326229,-20.400368428892413,0.0013903926920494324
892022,151362057803221903,0.038977686,0.8633916139503387,165.45577338521795,-20.84926613258625,0.002899630111781817
893049,151492056430009174,0.04531102,0.8643143504060629,192.05890648572887,-22.78916968628723,0.01284691855569491
893054,151492056438676191,0.6087731,0.8289262477641413,2233.3541366341124,-20.89208085281275,1.6554541403911758e-05
894452,151262058067698091,0.74773467,0.8527170072906871,2642.402257885654,-20.619049381166473,9.196485467596027e-06
894841,151432058143063700,0.043501247,0.8564820051943159,184.465513019705,-20.826403779516077,0.0022841843085344283
895182,151492057288772390,0.52554184,0.9150508682439512,1971.5879718957312,-21.56941378565466,3.9639958788165125e-05
895559,151442058612104339,0.049027182,0.9986834000791632,207.63189021293928,-21.397829777604542,0.0030517137588332733
895649,151322056859285581,0.3633258,0.8469723349983651,1422.9263228687464,-21.534513850153374,7.369545644066188e-05
896141,151372056221413705,0.847269,0.9785707613197734,2915.2152658998834,-20.73750452193965,8.426758537231864e-06
896886,151422057714307378,0.6238341,0.8913194925096661,2279.3484109012616,-20.909774830958547,1.6154313369473655e-05
897813,151322057922768204,0.047208585,0.8705148648817768,200.0141883269498,-21.326944078147783,0.0030807469202237714
899036,151452057393816018,0.04377902,0.8745096133189323,185.63089299467796,-22.015104647868256,0.00674126425057192
899814,151452057026591330,0.5562105,0.9995584511730013,2069.554956409091,-21.475512013274738,3.299520860292605e-05
