,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
387462,168561472544916369,0.29735816,0.45170866355713807,1184.6847682462733,-20.450831287261366,3.9185636506187965e-05
387712,168561472236660403,0.3164931,0.8713051379590544,1254.7070361666854,-21.36410290027381,8.101333173350326e-05
388027,168531471613362726,0.17032781,0.4056441737769978,700.6883254569974,-22.625638141033292,0.0008302435174941907
388101,168601471025729171,0.33577463,0.33839396424745183,1324.507126683568,-20.696382394450794,3.930468851969158e-05
388135,168601471328136124,0.11077089,0.5843989653735695,462.33393706600253,-19.883807954782824,0.00015262006527682814
388172,168621471878851579,0.34297833,0.5836703007706883,1350.3900545652305,-20.49716279846586,3.147361716064207e-05
388190,168621471762631057,0.39195806,0.3417957421635056,1523.5747359566803,-20.166108039834537,1.822702087019835e-05
388359,168571472383362639,0.28697848,0.5557082866895944,1146.3861246700262,-20.878028761823096,6.202255642686052e-05
388507,168601471745936544,1.0032618,0.6816110274285998,3311.7555297365975,-21.2009552473516,1.0006116583986567e-05
388615,168621470970022327,0.2512516,0.7719943557304876,1012.8659033394742,-21.316482838780253,0.00011898418290547001
388665,168641471530167065,0.5243646,0.6670321850015619,1967.7913393270067,-21.90500743965453,5.420569114557192e-05
388666,168641471541180152,0.5213391,0.4802833211162163,1958.0232252409537,-20.93693180117709,2.2445900977099977e-05
388673,168641471573483882,0.3307358,0.525180022632862,1306.3400976293126,-20.87882037499307,4.7798650448029055e-05
388730,168571472566629171,0.38045478,0.5066258774043617,1483.3375754574774,-20.905222595182355,3.7984729805640793e-05
388766,168581470967366040,0.32010934,0.5470282681898571,1267.8566037904834,-20.982375853539047,5.5822600889642936e-05
388831,168521471484648302,0.18401618,0.5352870725962329,754.4435168439553,-19.776543045392692,5.192347575510291e-05
388959,168601472665374325,0.5382054,0.6109199393478906,2012.2563600527951,-20.876731486177754,2.0106013833576164e-05
389008,168641471673096875,0.40634584,0.30423380452221555,1573.526470511176,-20.979124260005435,3.613279837215761e-05
389017,168641471712907157,0.5824871,0.7082559163376874,2152.0822344799312,-21.25490483846855,2.490257235361119e-05
389043,168641471837005277,0.45770997,0.45567781050757067,1748.4821045799722,-21.46478500324207,4.577112824823855e-05
389044,168641471841971540,0.6387072,0.7890620601873772,2324.3638687679822,-21.209894463160282,2.0480924351735146e-05
389117,168581471310537410,0.012406939,0.5927584734436309,52.98729318152023,-13.759341440357808,4.1247070333719724e-05
389124,168581471351292844,0.29812986,0.22839181736770447,1187.5226033705753,-20.255564651869648,3.257932568723894e-05
389172,168581471744542687,0.631474,0.34286939919895515,2302.5218247364255,-20.992336501297903,1.708154265205915e-05
389227,168541472039254176,0.09621863,0.5706704754808598,402.99401560157884,-20.312510987695887,0.000298131044138235
389286,168551471063825858,0.3204254,0.7287360279200832,1269.004025644956,-21.090510836456225,6.155712597600493e-05
389405,168611471838236938,0.42303455,0.3178618275732161,1630.9471206792323,-20.59956594855184,2.3710822460794285e-05
389515,168581471968416004,0.09930789,0.5404155824366823,415.6263694032688,-19.699025371083888,0.0001592956664832855
389572,168581472392978377,0.16455793,0.4260554092638038,677.9152018769656,-20.003160205162743,7.923432023624343e-05
389682,168551472219080688,0.5635715,0.5348737470672156,2092.8041447345,-20.89888845825555,1.8971348839937004e-05
389684,168551472229567901,0.7019484,0.3998032444376325,2511.362800165521,-20.979626272425843,1.419160762491269e-05
389730,168611471940959005,0.0684165,0.7638192683916989,288.4391184179164,-20.353439116756384,0.0006043205011939799
389760,168611472129596063,0.112080015,0.6254562730751578,467.6497061808039,-20.313285582008987,0.0002215505850256237
389830,168651471855101043,0.026157852,0.7117740182747763,111.36424480464824,-21.077996845994626,0.007901457086308355
389840,168651471889779947,0.4687947,0.33859266959082757,1785.5536613493807,-20.73209009305219,2.2350653409154936e-05
389866,168651472025527242,0.15667605,0.29067623877113297,646.6945205284882,-18.920593220278136,3.212468854405131e-05
389941,168591470967180226,0.4353383,0.3558841298336662,1672.9243926485315,-20.563660747244345,2.180276991632558e-05
389954,168591471055799148,0.2862278,0.7490697218462001,1143.6073623171826,-21.199271553386144,8.378277412629646e-05
390082,168551472495111435,0.24540466,0.885877008113148,990.7634746307745,-21.734259303155195,0.00018271060099232767
390121,168611472485389717,0.5251742,0.46625610308146337,1970.4022184392702,-21.854978096157147,5.1627543688043085e-05
390136,168611472550575083,0.23778476,0.37269918488483256,961.8524761716645,-19.98921250428866,3.8856892602460934e-05
390171,168631472304096150,0.56379515,0.9407572719365509,2093.5089354971624,-21.668915817995398,3.85315686139852e-05
390462,134561478785891853,0.78469086,0.6667189187122573,2745.58730391207,-20.529520755201904,7.844003634865932e-06
390491,134571478131281285,0.5256923,0.3220951585092109,1972.0727311400556,-20.981689308617472,2.305843710577774e-05
390838,134521478353979523,0.14167692,0.3528102438204934,586.9297768438418,-19.45654343505363,6.389179470824272e-05
390901,134541478444006332,0.067797706,0.9503977816640603,285.8715107076746,-20.403394537226887,0.0006441930891376977
390924,134541478544335621,0.46797264,0.6073887057036642,1782.8121652008842,-21.67181035232444,5.327371256577056e-05
390932,134541478588132703,0.7431328,0.4833318153529438,2629.3930513595124,-21.11563578847877,1.4673823588368007e-05
390958,134531478745389762,0.6977382,0.9234918799304885,2499.1323231313645,-21.084505452675973,1.5784240076843967e-05
391148,134551478598615453,0.46485582,0.22377772143389324,1772.407669403608,-20.376406178656797,1.634689338897638e-05
391158,134581478321285637,0.55533224,0.8453237522998365,2066.774619331537,-20.880349783990894,1.9122896493729835e-05
391240,134581478635708127,0.6975612,0.4987699216137043,2498.617480945321,-20.84280007717508,1.263922609429864e-05
391337,134521478729740193,0.61720216,0.8260930360264598,2259.145963216663,-20.49536601643877,1.1226847500646656e-05
391399,134591478508461928,0.19719803,0.4449453104496699,805.8438052346502,-20.38768535102338,7.990471319129972e-05
391442,134531478096598575,0.7240947,0.660694831434878,2575.1931011867523,-20.786011637242993,1.1292368826471778e-05
391563,134551478849542669,0.6031515,0.35191561630875334,2216.079873887134,-20.79445477206444,1.5367778408456457e-05
391695,134531478536181568,0.16870499,0.8086204856679902,694.289880155975,-21.905587960294348,0.0004356658451274063
391778,134561478366165687,0.042830233,0.8624500533466595,181.64870474415494,-21.821887689145413,0.00589237617395548
391797,134561478440702759,0.12643166,0.5458253577324443,525.7122459439785,-19.760801053887683,0.0001053960256192649
391808,134561478504721056,0.12957767,0.719573897187479,538.3843664699561,-20.869936798165675,0.0002791192814606997
391828,134561478630421459,0.22700779,0.8404316829906633,920.759113811524,-21.300526645215115,0.00014187915902403626
391846,134541478710362363,0.52743626,0.6715230227923397,1977.691226480947,-20.853750908389383,2.0379024411677875e-05
391889,134551478025514738,0.67344385,0.4871067386322745,2427.9528185175286,-20.93008955383398,1.4506255936239403e-05
392111,134031480145221877,0.4611843,0.24289612110935432,1760.1272570702197,-20.462789035797776,1.7948471819441882e-05
