paliya_RA,paliya_DEC,paliya_Z
244.6819,55.51896,0.08299189
244.9638,40.97979,0.03780079
245.0531,40.15172,0.02850778
245.0881,30.17237,0.09659284
246.0391,26.07525,0.0392371
247.3751,42.11757,0.07168863
247.4462,30.72016,0.0910424
247.9676,34.89132,0.07238188
247.9983,24.62785,0.04334568
248.2396,11.84449,0.0463713
248.7189,28.81578,0.09767059
248.7561,30.90336,0.05442749
249.1269,16.92453,0.08804529
249.9698,28.81949,0.08740342
253.534,39.42593,0.06926169
254.1541,37.24433,0.06263614
255.5076,36.36607,0.09815171
255.6629,24.88455,0.06767823
257.2586,64.29113,0.08933602
258.2686,35.39266,0.0839
261.9964,54.36307,0.09952903
313.4412,-0.1643835,0.07818855
314.5923,-6.834551,0.0737937
315.6106,0.1173065,0.05175861
316.3893,0.4748019,0.05436849
318.6606,11.22255,0.08423852
320.9526,10.89674,0.08642572
322.2133,-1.070127,0.05154388
324.1123,8.658892,0.09365643
325.2273,0.427261,0.0837119
326.2658,6.038582,0.05963278
327.2665,-1.686601,0.05270801
330.641,-7.540286,0.05932403
332.4442,-0.6396629,0.089
333.0639,18.24672,0.0810019
333.1044,-1.702023,0.096
334.543,28.7662,0.08751484
334.8272,12.13144,0.08127831
335.4006,0.8478592,0.06084904
335.6304,2.913352,0.09582934
336.0519,-8.588397,0.07572534
336.6803,27.27431,0.099
338.9031,17.64776,0.091
339.9768,27.40929,0.06540058
342.1027,0.1557758,0.05378426
343.7176,0.7753788,0.091
343.9592,12.8486,0.07972758
346.7074,0.83981,0.06075789
347.3732,19.92754,0.08781815
348.0702,-10.2362,0.06563584
351.6795,-9.991077,0.06953399
356.1201,13.82946,0.06845211
357.7209,33.13063,0.09184433
359.6384,0.5815574,0.07538129
