,raMean,decMean,gMeanKronMag,rMeanKronMag,iMeanKronMag,zMeanKronMag,yMeanKronMag,gMeanKronMagErr,rMeanKronMagErr,iMeanKronMagErr,zMeanKronMagErr,yMeanKronMagErr,spec_redshift,spec_redshift_error
37,0.2477813094663632,-10.612693845343736,-999.0,21.069700241088867,20.1884994506836,19.8341007232666,19.44070053100586,-999.0,0.1273120045661926,0.0577200017869472,0.0634080022573471,0.1477770060300827,0.1955101,4.428855e-05
38,0.2579377843594126,-10.674663246782943,-999.0,21.017900466918945,20.25379943847656,19.93079948425293,19.46780014038086,-999.0,0.0616660006344318,0.0450159981846809,0.0514310002326965,0.1725399941205978,0.07882211,1.938929e-05
39,0.2765549987478125,-10.400251176365067,16.913000106811523,16.48699951171875,16.17340087890625,16.1560001373291,16.304100036621094,0.0112279998138546,0.0064050001092255,0.0081179998815059,0.0072590000927448,0.0956519991159439,0.314133,0.0001006355
40,0.2844521395708348,-10.494640739642588,-999.0,21.46739959716797,20.510099411010746,19.90880012512207,19.64539909362793,-999.0,0.2445340007543563,0.0691500008106231,0.0560880005359649,0.1668059974908828,0.2966488,6.807402e-05
41,0.2905105015866697,-10.543001548951032,17.693599700927734,16.828699111938477,16.376800537109375,16.20319938659668,16.243099212646484,0.0105630001053214,0.0063640000298619,0.0054299999028444,0.0135319996625185,0.0168319996446371,0.1190801,1.282713e-05
42,0.3044017292573344,-11.103601442791904,17.032800674438477,16.59709930419922,16.23349952697754,16.1835994720459,16.06399917602539,0.0104179996997118,0.0065500000491738,0.0090169999748468,0.0093639995902776,0.0181019995361566,0.06259714,1.030211e-05
43,0.3142287739811359,-10.59401477708862,20.74040031433105,19.31279945373535,18.605600357055664,18.447900772094727,18.143999099731445,0.1353269964456558,0.0410710014402866,0.0493060015141963,0.06734099984169,0.0665619969367981,0.1713638,3.990311e-05
44,0.3213907231231681,-10.231936068746265,-999.0,21.092100143432617,20.08639907836914,19.714000701904297,19.5492000579834,-999.0,0.0884800031781196,0.0388580001890659,0.0683000013232231,0.0387340001761913,0.1134371,2.137519e-05
45,0.3261405963046593,-10.658828362234017,-999.0,20.918500900268555,19.82509994506836,19.57469940185547,19.27939987182617,-999.0,0.0634519979357719,0.0388210006058216,0.0148569997400045,0.1313939988613128,0.04516177,5.335355e-06
46,0.3312331890583305,-10.682118304189713,20.77580070495605,20.423900604248047,19.60020065307617,19.194000244140625,18.774599075317383,0.1771499961614608,0.0842529982328414,0.053541999310255,0.027666000649333,0.0561590008437633,0.171613,3.847306e-05
47,0.3343011151826461,-10.212138376768994,21.767099380493164,21.35059928894043,20.101299285888672,19.592100143432617,19.37459945678711,0.2987290024757385,0.0566879995167255,0.0496900007128715,0.0451180003583431,0.0800699964165687,0.07539867,2.482609e-05
48,0.3369310793497997,-10.491668544737225,20.738399505615234,19.1884994506836,18.58270072937012,18.2987003326416,18.197599411010746,0.0822160020470619,0.0273150000721216,0.0150669999420642,0.0208720006048679,0.0392750017344951,0.0450258,6.263507e-06
49,0.352825947412915,-10.990399303013357,20.4507999420166,18.92510032653809,18.34449958801269,18.13349914550781,18.05419921875,0.0496710017323493,0.0151519998908042,0.0130580002442002,0.0300149992108345,0.0505569986999034,0.07562193,2.95143e-05
50,0.3557513322069258,-10.35365827108292,-999.0,20.701499938964844,19.82349967956543,19.39069938659668,19.055700302124023,-999.0,0.0480070002377033,0.0346079990267753,0.0521089993417263,0.0546180009841918,0.1065344,3.256448e-05
51,0.377632320334398,-10.453897126590928,17.658100128173828,16.96339988708496,16.502199172973633,16.37779998779297,16.336599349975586,0.0156640000641345,0.0136700002476572,0.0142270000651478,0.0093870004639029,0.0465379990637302,0.2183969,1.491557e-05
52,0.3806635373777692,-10.963572478559412,19.70560073852539,18.36459922790528,17.824899673461914,17.59440040588379,17.50790023803711,0.0173940006643533,0.0134730003774166,0.0078630000352859,0.0112539995461702,0.0349549986422061,0.2005917,6.479119e-05
