distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_photo_redshift,sdss_photo_redshift_error,photoErrorClass,specObjID,spec_redshift,spec_redshift_error
0.25526351075632,1237658609292935253,183.936982887741,59.4484240607062,19.60722,18.23681,17.37527,16.91451,16.73302,0.07247331,0.009468877,0.00709198,0.00699772,0.0149538,0.07704657,0.06003416,0.04153135,0.03086225,0.02295584,0.091526,0.022102,1,1075281455573133312,0.09583999,1.644655e-05
0.902120114831512,1237664338792481158,184.204816029131,37.9229223991414,20.64179,21.27062,19.88139,18.89142,18.47512,0.3117541,0.0963903,0.0405594,0.03069188,0.06242711,0.09961338,0.07761807,0.05369582,0.03990175,0.02967957,0.556264,0.029243,1,5292909708797302784,0.5170775,0.0001056387
1.2856900351266,1237664819287883949,184.226033799776,37.8907639462097,21.08509,19.81016,18.64356,18.09144,17.94457,0.203854,0.0242153,0.01337772,0.01183045,0.03374032,0.09283346,0.0723352,0.05004116,0.03718594,0.02765951,0.230888,0.033885,1,5292909433919395840,0.2152898,3.366579e-05
2.41137878248215,1237664338792481180,184.217300593043,37.9507498124221,22.23956,21.14336,19.95399,19.08316,18.85916,0.6025553,0.06214623,0.0330246,0.027639,0.09141871,0.1048242,0.0816783,0.05650467,0.04198902,0.03123212,0.439553,0.109186,1,5292910258553116672,0.2344579,7.029102e-05
1.66144996717864,1237658608755736736,184.478102343347,58.6875959744076,18.8567,18.10087,17.64949,17.36642,17.12556,0.05584692,0.009153227,0.009417299,0.01044141,0.03522488,0.08647794,0.06738303,0.04661527,0.03464014,0.0257659,0.063065,0.022125,1,1480668925241878528,0.06298076,7.716916e-06
3.18360701701895,1237658608755736692,184.555365000721,58.6246915370664,18.38206,17.32038,16.84431,16.51522,16.26855,0.03032521,0.005640542,0.004957184,0.005001824,0.0153809,0.07364457,0.05738335,0.03969754,0.02949952,0.02194223,0.077778,0.014389,1,1480684043526760448,0.08315144,9.244377e-06
3.42860382717156,1237658608755737311,184.544871004372,58.6141540745395,20.16544,22.5205,21.78214,20.42318,19.47296,0.4298456,0.3478324,0.1304128,0.06272436,0.1122289,0.07244985,0.05645243,0.03905353,0.02902096,0.02158626,0.813119,0.062413,-7,9273013200227686400,0.6946383,0.0003382496
4.0927710870539,1237657613414695389,184.348638268483,58.6669510137765,24.43831,23.10558,20.77004,19.33755,19.23529,1.225531,0.3102452,0.09703475,0.0471388,0.09669113,0.07787407,0.06067895,0.04197742,0.03119372,0.0232024,0.614118,0.034255,4,7846419923119396864,0.6332772,0.000144253
4.90057403090073,1237658608755736668,184.398457159285,58.5898514402181,18.41801,17.42168,16.48317,16.01814,15.59422,0.06518663,0.006761466,0.004748082,0.004298608,0.009700809,0.06668852,0.05196324,0.03594793,0.02671316,0.01986969,0.078675,0.015349,1,1480670574509320192,0.1007281,2.393191e-05
5.39302744233323,1237658608755736657,184.529005544181,58.5738653382318,23.86791,21.73253,20.08893,19.20993,19.22252,1.22174,0.1006149,0.03508929,0.02554065,0.07636591,0.06633683,0.05168921,0.03575835,0.02657229,0.0197649,0.449569,0.03609,1,7846418823607769088,0.4913962,0.0001256477
5.97631408789484,1237657613414695043,184.368861108928,58.7414044215962,19.52328,18.2389,17.18285,16.72173,16.3429,0.11068,0.008695897,0.00576145,0.005692622,0.01220125,0.07956527,0.06199672,0.04288904,0.03187115,0.02370628,0.136304,0.014425,1,1480670849387227136,0.1295608,3.452188e-05
6.75824352248557,1237658608755737153,184.693804061349,58.6748117454752,23.15022,21.91096,20.81958,19.66263,18.81466,0.4818993,0.1599199,0.05816061,0.03088113,0.07812145,0.0688448,0.0536434,0.03711025,0.0275769,0.02051215,0.547807,0.036491,1,7697927579622463488,0.5636815,0.0001455768
7.23046854793101,1237657613414695515,184.272653328165,58.7147788078625,25.35662,22.09908,21.0738,20.30373,19.42203,0.9191077,0.1607807,0.1226953,0.07550918,0.1537831,0.071323,0.0555744,0.03844611,0.02856958,0.02125052,0.650683,0.066476,2,9273019252625135616,0.6427873,0.0002196392
7.29345055293414,1237658608755802127,184.614083181874,58.7592137580643,18.01991,16.95152,16.51094,16.29181,16.10422,0.01494454,0.003956075,0.003832661,0.004053202,0.009925794,0.07761838,0.06047971,0.04183958,0.0310913,0.02312621,0.023467,0.006814,1,1075267986555693056,0.01508945,7.217137e-06
7.50796913300927,1237657613414695000,184.280120523259,58.730402275999,18.49172,17.05329,16.12032,15.70001,15.43542,0.04135721,0.004979819,0.003742145,0.003823596,0.007952883,0.07200011,0.056102,0.0388111,0.02884081,0.02145226,0.097844,0.012235,1,1480671948898854912,0.09579411,2.329055e-05
7.78169440394235,1237658608755802337,184.697393289074,58.7227839459217,19.90528,21.81172,20.17102,19.14983,18.85999,0.3628231,0.1208467,0.04392948,0.02659203,0.0707741,0.07108107,0.05538589,0.0383157,0.02847267,0.02117844,0.521371,0.023206,1,7697926480110835712,0.5641233,0.000143027
7.97150530423502,1237658608755802476,184.413922456155,58.7883871886524,21.23621,21.51747,19.88629,19.39401,19.53338,0.347364,0.09720733,0.0459431,0.03270552,0.09839353,0.08698584,0.06777877,0.04688904,0.03484359,0.02591723,0.423418,0.102981,1,7846422122142652416,0.5153237,0.0001708753
8.07989250670405,1237657613414694989,184.261338308126,58.5872480525457,19.18227,17.7113,16.82731,16.42268,16.16046,0.05644356,0.007672618,0.005926849,0.006278264,0.01570168,0.06401229,0.04987794,0.03450533,0.02564116,0.01907231,0.141235,0.020264,1,1480669749875599360,0.1346359,2.739398e-05
8.10586960514635,1237658608755736801,184.734783019641,58.636362449993,25.65274,20.26934,18.75993,18.01958,17.60306,0.5964182,0.04671458,0.0163902,0.01220316,0.03725052,0.06522582,0.05082352,0.03515948,0.02612726,0.01943388,0.414109,0.028382,-1,1480681569625597952,0.4331447,0.0001065769
2.1334829916856,1237658491744485824,184.68084350686,9.19938702211196,21.45539,22.02254,20.48289,19.60699,19.17829,0.8458409,0.1657422,0.06153135,0.02839122,0.06310628,0.08408651,0.06551964,0.04532618,0.03368221,0.02505338,0.474448,0.021571,1,6075430214133110784,0.4687033,0.000108559
1.12253163797073,1237661970648662131,184.891116419771,6.71224967586541,19.52164,18.28165,17.24176,16.7895,16.44575,0.08608358,0.009759691,0.006379744,0.005893686,0.0119587,0.08871091,0.06912294,0.04781893,0.03553459,0.02643121,0.130519,0.016267,1,1829625334450907136,0.124735,2.872881e-05
2.11754676236877,1237661970648662621,184.914103418191,6.72776818935392,22.00595,21.49471,20.73584,19.72818,19.21988,0.7146341,0.1565439,0.06521878,0.03403879,0.07234849,0.08797762,0.06855156,0.04742365,0.03524086,0.02621272,0.619374,0.05238,1,6076592672751245312,0.56908,0.000142793
1.32249124920342,1237667914883793804,185.804664231708,19.38666980792,20.59935,22.40413,20.55923,19.21405,18.61145,0.6153854,0.1209703,0.05198319,0.01998299,0.05481784,0.1697022,0.1322308,0.09147667,0.06797697,0.05056238,0.653597,0.036279,-1,6586607190253262848,0.6634439,0.0001358408
1.92453423353488,1237667914883793722,185.784826777734,19.4256504097508,22.29906,21.61884,20.79704,19.82582,19.21624,0.4906672,0.1438271,0.07074925,0.0412796,0.117905,0.169559,0.1321192,0.09139948,0.06791961,0.05051971,0.557858,0.04816,1,6586604441474193408,0.5798266,0.0002641577
2.23944466644982,1237667914883793885,185.821959443656,19.3964330424536,25.94013,21.91412,20.47058,19.45854,19.22951,0.3490823,0.194293,0.05914735,0.02649775,0.06334168,0.1701864,0.1326081,0.09173764,0.0681709,0.05070662,0.555047,0.030709,1,6586606640497448960,0.540086,0.0001654886
1.84652687224719,1237661975473881231,185.952873621914,7.41888181905074,20.14194,18.30441,17.46603,17.09799,16.73325,0.08944059,0.008826807,0.006547921,0.00635665,0.01646316,0.09297299,0.07244392,0.05011637,0.03724183,0.02770108,0.076073,0.011785,1,1830764983823132672,0.07418231,2.579651e-05
2.58331898131522,1237661975473881264,185.982379651926,7.41461935007659,19.67855,17.93283,17.04728,16.67281,16.38676,0.0814646,0.008855427,0.006410759,0.006080912,0.01531429,0.09224322,0.07187529,0.04972299,0.03694951,0.02748365,0.097607,0.023585,1,1829595097881143296,0.07551191,2.471217e-05
2.53443017858772,1237667324331163921,186.001886570043,28.4891411692302,19.32931,22.2398,20.62804,19.64061,19.28505,0.5448236,0.1230166,0.04637194,0.03652439,0.07855511,0.08785991,0.06845985,0.04736021,0.03519371,0.02617765,0.500498,0.033162,1,6728581634457884672,0.4631103,0.0001188355
2.38933078230027,1237667442435031103,187.025964160042,26.904426054872,18.63222,17.23345,16.70666,16.46658,16.3188,0.03813046,0.006874254,0.00676517,0.00810375,0.02286449,0.09043135,0.0704635,0.04874633,0.03622374,0.02694381,0.053637,0.013291,1,2514167266958927872,0.06237464,8.368845e-06
1.43157854486948,1237655463769145553,187.098884935151,61.737270710052,21.55692,19.4057,17.93274,17.44468,17.18546,0.3085761,0.01868307,0.009068983,0.008497341,0.02021088,0.04759201,0.03708338,0.02565411,0.01906375,0.01417993,0.250327,0.013713,1,8014240311474935808,0.2703041,3.637867e-05
0.809969379661155,1237667254016671891,187.279042036376,29.7744494778732,23.41134,20.063,18.54499,18.15713,17.73781,0.6615677,0.03007102,0.01412737,0.0107641,0.02539424,0.08045959,0.06269357,0.04337112,0.03222939,0.02397275,0.321706,0.016766,1,7289300953765009408,0.3556065,4.719729e-05
0.812150875267912,1237667254016671907,187.258646957012,29.7919710193298,23.38496,20.69505,19.05624,18.53958,18.14298,0.6536975,0.0578017,0.01926517,0.01403007,0.03731523,0.07878758,0.06139075,0.04246983,0.03155964,0.02347457,0.343141,0.019119,1,7289300404009195520,0.3564387,7.159923e-05
0.928509129887915,1237668623013970119,188.639898923423,16.5210979039201,18.8225,17.48908,16.58752,16.25172,16.02669,0.04501209,0.006580237,0.004819682,0.004987646,0.01170701,0.1260634,0.09822778,0.06795352,0.05049675,0.0375603,0.08731,0.017436,1,2926282098639661056,0.07235454,2.161379e-05
1.06492919153011,1237668623013970226,188.650525062393,16.5489144905737,21.35594,19.47152,18.05025,17.53417,17.25661,0.1924262,0.0155816,0.007845029,0.007489937,0.01705846,0.1246324,0.09711269,0.06718211,0.04992351,0.03713392,0.229563,0.016102,1,6084592995390478336,0.2296841,3.105164e-05
1.08452879026902,1237668623013970148,188.670285170217,16.5264562015936,20.1153,18.25625,17.38826,16.99212,16.64664,0.06772681,0.007909978,0.005847627,0.00588657,0.01273708,0.125119,0.09749185,0.06744441,0.05011842,0.0372789,0.071288,0.013426,1,2926280999128033280,0.07242022,2.548357e-05
1.54279235720597,1237668623013970155,188.676225173403,16.5424682313432,20.14144,18.37291,17.54232,17.16206,17.00481,0.08344797,0.01146553,0.008744387,0.008819717,0.02469691,0.1252309,0.09757907,0.06750475,0.05016326,0.03731225,0.107498,0.032259,1,2926285397174544384,0.07293336,8.131532e-06
1.75317126472876,1237668623013970111,188.632903957374,16.5085344931901,25.23878,20.65127,18.82322,18.23865,17.88453,1.015876,0.03880604,0.01360158,0.01223923,0.03190764,0.1267141,0.09873477,0.06830426,0.05075738,0.03775417,0.343194,0.025113,1,6084593545146292224,0.322583,5.00998e-05
1.72345940555027,1237661070338556572,188.761478884399,15.5574175613801,23.91725,21.06947,21.08755,19.91926,19.79622,0.7075496,0.2347942,0.06209465,0.05232636,0.171162,0.1481629,0.1154476,0.07986609,0.05934906,0.0441448,0.553973,0.045653,3,6084406903047477248,0.5615077,0.0001222483
3.92867487624592,1237661070338556626,188.792575859083,15.5969642033017,21.1186,22.63523,20.42653,19.64003,18.57892,0.7093276,0.247635,0.04465904,0.04097741,0.1126342,0.143341,0.1116904,0.07726688,0.05741757,0.04270812,0.483783,0.029677,2,6084405803535849472,0.4698779,0.0001221205
1.33254543174255,1237661852007596106,189.181473082411,45.6499879741484,18.63511,17.79417,16.90221,16.49288,16.24987,0.04665784,0.006422057,0.004575605,0.004623097,0.008797868,0.07057392,0.05499072,0.03804233,0.02826952,0.02102733,0.094675,0.015544,1,1544846049112254464,0.07618693,2.152549e-05
1.73649916128111,1237661852007596448,189.25044308433,45.6638095442483,20.70083,21.30907,20.10714,19.27717,19.07717,0.2188284,0.07341845,0.03534245,0.02673734,0.08172433,0.07299877,0.05688015,0.03934942,0.02924084,0.02174981,0.605624,0.044216,1,7470488650406713344,0.6491858,8.798717e-05
2.95265819030747,1237661852007596782,189.275831293069,45.6287058506345,20.39462,22.55147,21.43657,20.88637,19.69213,0.4065732,0.592271,0.1710118,0.09710456,0.1548977,0.07136752,0.0556091,0.03847012,0.02858742,0.02126379,0.545169,0.037577,-7,8356458634591623168,0.5440002,0.0004093239
3.9962838057318,1237661852007596814,189.302044398769,45.6271272903045,22.26951,23.1267,20.80403,19.87378,20.11823,0.5164521,0.3918176,0.111402,0.04865757,0.1314483,0.07065452,0.05505352,0.03808577,0.02830181,0.02105135,0.610419,0.052954,5,7471740444344604672,0.6483139,0.0001881624
4.05449228924681,1237661852007596307,189.153981761541,45.5977635464941,20.41219,22.12081,20.4836,19.65739,19.14042,0.5164254,0.1338285,0.07140144,0.04756558,0.08481792,0.06656089,0.0518638,0.03587914,0.02666204,0.01983166,0.533207,0.046092,1,7471740994100418560,0.6162034,0.0001412948
5.3984531712871,1237661852007596140,189.322812937673,45.698376003875,19.61946,18.40163,17.70702,17.3581,17.11241,0.05758056,0.01010804,0.007656685,0.008145403,0.02071879,0.07254862,0.0565294,0.03910678,0.02906052,0.02161569,0.160891,0.024621,1,1544858968373880832,0.1908069,1.741709e-05
5.53211631457656,1237661852007530688,189.103340106045,45.6001856180288,20.27477,19.29378,18.1687,17.74441,17.22037,0.1644202,0.02216417,0.01217957,0.01147819,0.02439944,0.06661165,0.05190334,0.03590649,0.02668237,0.01984678,0.18805,0.037341,1,7471723127036467200,0.1913269,4.317803e-05
5.53528906420907,1237661852007596207,189.341784796878,45.6720125267606,20.96331,21.01671,19.10933,18.5684,18.1727,0.4760772,0.05194361,0.01721115,0.01725612,0.03386198,0.07105566,0.05536609,0.038302,0.02846249,0.02117087,0.355942,0.025165,1,7470487825772992512,0.3898889,7.533577e-05
6.16308577224286,1237661852007596158,189.359548369042,45.6604993396541,21.09023,22.13752,20.67278,19.72404,19.15369,1.495545,0.1107491,0.05976637,0.03600803,0.09776913,0.06946182,0.05412418,0.03744286,0.02782405,0.02069598,0.563106,0.049067,1,7471738795077163008,0.4982632,0.0001177178
0.632726662897847,1237665024369951429,189.878444811626,34.3812129311692,23.96412,23.11385,21.63704,20.3647,19.2135,2.440984,0.4787177,0.110539,0.06611701,0.07694453,0.07649299,0.05960282,0.04123295,0.0306405,0.02279091,0.690116,0.069689,-3,11538337557076269056,0.9037459,0.0003310531
1.13946975271879,1237666090056352262,19.3078436055383,25.4319655137584,21.58245,21.71541,20.00707,19.48237,19.00472,0.7961008,0.08826923,0.02928201,0.02768174,0.06641772,0.4776197,0.3721581,0.2574572,0.1913183,0.1423057,0.381677,0.037716,1,8649280856513599488,0.3787155,8.48308e-05
1.36518549194883,1237666090056352286,19.290474551616,25.4455914171384,23.14555,22.73201,20.98987,20.05725,19.63334,0.815241,0.2066447,0.06439325,0.03114013,0.07570556,0.4799347,0.3739619,0.2587051,0.1922456,0.1429954,0.493226,0.032329,1,6409914025824770048,0.5566574,0.000127958
1.59848010116912,1237666214611648851,19.3438394991331,25.4563256027112,23.80609,20.93213,19.02695,18.32162,18.0352,1.136591,0.04465294,0.01583439,0.01281656,0.03894913,0.4872614,0.3796708,0.2626545,0.1951804,0.1451784,0.329985,0.034181,1,6409918698749188096,0.2482967,5.584845e-05
2.03402485134873,1237666214611649487,19.3427730912994,25.4266861074851,21.59145,20.99813,21.22508,20.11345,19.66334,0.4127477,0.1936078,0.08577386,0.04082326,0.1154669,0.4782225,0.3726277,0.2577821,0.1915597,0.1424852,0.633692,0.056032,2,6409917874115467264,0.6234869,0.0001810258
2.44608532092963,1237666214611714380,19.3437633984317,25.4813521380883,21.29782,21.3247,19.3326,18.60863,18.12159,0.5475461,0.07271223,0.01819702,0.0135852,0.03790107,0.5002297,0.3897756,0.269645,0.2003751,0.1490423,0.391678,0.023196,1,6409915400214304768,0.3848641,7.611419e-05
2.583804706266,1237666090056351927,19.270574161272,25.434677164588,20.01804,18.06408,17.08632,16.56709,16.14699,0.08374595,0.009181229,0.005705466,0.004999261,0.0112142,0.4805509,0.374442,0.2590372,0.1924924,0.143179,0.099482,0.022638,1,6416776622733809664,0.1139743,1.724708e-05
2.6554454301647,1237666214611714536,19.3408289073875,25.4874948001548,23.66375,21.96727,20.38458,19.64958,19.20563,0.5017979,0.09541865,0.03695729,0.02805204,0.07046661,0.5032184,0.3921044,0.271256,0.2015723,0.1499327,0.399708,0.050015,1,8649281131391506432,0.3866279,6.445676e-05
1.00775164829993,1237666338653405195,19.5022397742972,-0.479349957520241,18.15559,16.67435,15.96301,15.54855,15.21849,0.03537467,0.004522629,0.003793273,0.003886849,0.008235962,0.1486244,0.1158071,0.08011482,0.05953389,0.04428228,0.053648,0.017585,1,448158220716894208,0.09163378,1.140156e-05
1.77440820025127,1237666338653340347,19.4889453897835,-0.470763000482557,22.30607,22.64436,22.79402,21.96944,22.46683,0.4074368,0.1717212,0.1828027,0.1730072,0.5054587,0.1477341,0.1151134,0.0796349,0.05917727,0.04401702,0.467267,0.157081,-7,10502545918393604096,0.8210313,0.0001081697
1.85449207004333,1237666338653340346,19.4885398086631,-0.5225788373276,22.2814,21.46268,20.35987,19.75297,19.11582,0.3103709,0.07745911,0.03111359,0.02618329,0.0543621,0.148346,0.1155902,0.07996475,0.05942238,0.04419933,0.453526,0.095256,1,9896755687312349184,0.255361,1.243916e-05
0.950006105691467,1237680286532501897,19.8256819563783,30.3335375394457,21.52951,21.29879,19.38204,18.81282,18.73835,0.5143191,0.1023875,0.02802096,0.02824979,0.05624371,0.2440703,0.1901779,0.1315642,0.0977663,0.07272016,0.359565,0.02288,1,7051539809203148800,0.3483748,7.379607e-05
2.18279318043281,1237666215150683126,19.7940943752286,30.3536106263824,19.69263,21.26581,19.43106,18.82457,18.90608,0.3673124,0.06290089,0.02603802,0.01853354,0.05597091,0.2507696,0.195398,0.1351754,0.1004498,0.07471621,0.402168,0.036351,1,7050580485106587648,0.3113748,8.814376e-05
2.52298689665324,1237680286532502266,19.8586649924811,30.3050456438657,23.15942,22.75674,21.31166,19.92218,19.4453,3.231615,0.2344645,0.1445139,0.07314412,0.1847492,0.231988,0.1807635,0.1250513,0.09292653,0.06912027,0.626948,0.048571,3,7050591205344958464,0.620449,0.000287618
3.26306087839347,1237680286532502270,19.8659586785172,30.2909403964566,21.84061,21.47173,19.68147,19.13253,18.81185,0.8237124,0.152861,0.06393113,0.04093238,0.08830696,0.2279071,0.1775836,0.1228515,0.09129186,0.06790437,0.447277,0.025913,1,7426562060711122944,0.3746402,0.0001205935
3.43354279915451,1237680309626077730,19.856672369471,30.3651303502417,22.07305,21.80866,19.71486,19.10811,18.81273,0.6898295,0.1186102,0.03735207,0.02941227,0.08363004,0.237646,0.1851722,0.1281013,0.09519297,0.07080608,0.390056,0.028624,1,7050591480222865408,0.3811827,8.124707e-05
3.76906486169303,1237680286532502037,19.8829043075684,30.3017334523615,20.85606,22.35869,20.72888,19.92367,19.32388,0.9083327,0.1458226,0.09544302,0.06902509,0.1474844,0.2254627,0.175679,0.1215339,0.09031275,0.06717609,0.479825,0.064893,1,7426561510955309056,0.5230092,0.0001972654
0.42501731841371,1237666339190407704,19.8681927731733,-0.137894058855872,20.47735,21.5935,20.03179,19.63852,19.37053,0.3496531,0.08393611,0.02711791,0.02637487,0.08263035,0.1449747,0.1129633,0.07814749,0.05807196,0.04319487,0.30517,0.047366,1,782521088042100736,0.290483,0.0001373249
0.706576707229011,1237666339190407310,19.8604227193609,-0.139369056438823,19.36034,17.90076,17.03969,16.76022,16.40546,0.0540242,0.008768267,0.006337571,0.006371335,0.01666068,0.14543,0.1133181,0.07839294,0.05825435,0.04333054,0.149925,0.017616,1,783702513403586560,0.1482742,1.249276e-05
0.965356607503012,1237666339190407316,19.8719118521683,-0.128289827207877,20.03354,19.00117,18.36068,18.01174,17.87781,0.0568579,0.01145829,0.009617079,0.01001466,0.03139453,0.1455851,0.1134389,0.07847652,0.05831646,0.04337673,0.154839,0.024565,1,1216025819315464192,0.1483114,6.029287e-06
2.10793339999095,1237666339190408038,19.9003104854738,-0.16386303605425,23.58463,22.4984,21.64225,19.94691,19.94793,1.025065,0.2517468,0.2153486,0.1877711,0.5905952,0.1421133,0.1107337,0.07660504,0.05692576,0.04234231,0.37042,0.092865,7,10579054891531261952,0.9717677,0.0001663327
