objID,ra,dec
102220042805948252,4.28058149,-4.81013582
102220042806185326,4.28060253,-4.81257316
102220042807688717,4.28075452,-4.80974954
102220042807719178,4.28074168,-4.80937128
102220042809067713,4.28092058,-4.81063594
102220042820267905,4.28188335,-4.81039326
102220042821696271,4.28217123,-4.81183081
102220042822096730,4.28219954,-4.81139315
102220042822382526,4.28221611,-4.81491379
102220042823597229,4.28234961,-4.81097815
102220042824635371,4.28244794,-4.81254727
102220042825134902,4.28250284,-4.8129155
102220042825606050,4.28255077,-4.81196009
102220042826923283,4.28265601,-4.81437169
102220042829304230,4.28292002,-4.81347672
102220042830169173,4.28303329,-4.80936399
102220042830781711,4.28306837,-4.81557431
102220042831382734,4.28312836,-4.81472271
102220042833941344,4.28338435,-4.81588113
102220042842116407,4.28423866,-4.81167275
102220042858754294,4.28586051,-4.81344495
102220042859691967,4.28595699,-4.81537495
102220042861236747,4.28612206,-4.81138287
102220042862123784,4.28618934,-4.81386527
102220042863338859,4.28632584,-4.80962787
102220042874825595,4.2875706940382425,-4.812313886677337
102220042885556048,4.28854249,-4.81197368
102220042888686492,4.28885772,-4.81160185
102250042800268970,4.27996158,-4.7844884
102250042802272347,4.28022068,-4.79005708
102250042809798655,4.2809143,-4.78475039
102250042810803787,4.28107056,-4.78886579
102250042817821244,4.28177263,-4.79098016
102250042830483385,4.2830372,-4.78920157
102250042831994349,4.2831835,-4.7883997
102250042838411968,4.28382886,-4.79037655
102250042840012627,4.28399125,-4.78981506
102250042842132880,4.284209487751157,-4.789671061828651
102250042850257255,4.28495551,-4.78591443
102250042853289920,4.28533834,-4.78380899
102250042855671000,4.28555239,-4.79118454
102250042858886888,4.28590139,-4.78633429
102250042859782573,4.286019025995092,-4.789910932506807
102250042860680073,4.28605644,-4.79196011
102250042860864974,4.28607047,-4.7878784
102250042861041957,4.28609383,-4.7903738
102250042868072923,4.28680128,-4.78958422
102250042872659959,4.28726203,-4.783697
102250042891647235,4.28914999,-4.78598904
102250042892285721,4.28921158,-4.78725667
102250042896419502,4.28964577,-4.78415974
102250042902781683,4.29032744,-4.7906811
102250042907720721,4.29075559,-4.79141882
102250042910753012,4.29103759,-4.78951567
102250042910815866,4.29110282,-4.78717546
102250042916246422,4.29158642,-4.78667733
102250042917114791,4.29163378,-4.78796174
102250042917839793,4.29181593,-4.78392789
102250042918331135,4.29184848,-4.79112671
102250042920373060,4.29205122,-4.78951037
102250042922327656,4.29219343,-4.78564971
102250042923244409,4.29233221,-4.78849382
102250042925716329,4.29253236,-4.78675267
102250042926045777,4.29256549,-4.78720923
102250042927407793,4.2926844,-4.78552741
102250042931187041,4.29307941,-4.78615647
102250042933190594,4.29329692,-4.79152541
102250042933228806,4.29330728,-4.78468005
102250042938195750,4.29382005,-4.7872138
102250042939711406,4.29394902,-4.79084875
102250042940046529,4.29401188,-4.78662759
102250042940459184,4.29405893,-4.78442146
102250042940909866,4.29405026,-4.78380607
102250042944698844,4.29447044,-4.78463627
102250042946626946,4.29464515,-4.78623558
102250042947232579,4.29471565,-4.78987315
102250042954532063,4.29546607,-4.79035925
102250042958463331,4.29582397,-4.78924425
102250042961217813,4.29612476,-4.78550125
102250042972315838,4.297293725819231,-4.787199998677109
102250042975635130,4.29754062,-4.7877448
102260042312800107,4.23132994,-4.78364645
102260042314350527,4.23142514,-4.78324533
102260042314490929,4.23143829,-4.78291042
102260042315653393,4.23155312,-4.78084516
102260042319262364,4.23192712,-4.78170813
102260042321040113,4.2320703,-4.78352641
102260042321614196,4.23219446,-4.78023427
102260042322505348,4.23224836,-4.77922371
102260042323743528,4.23241456,-4.78078963
102260042324240333,4.23242513,-4.78339606
102260042325875492,4.2325979,-4.77910243
102260042327093399,4.2327399,-4.78090977
102260042328297914,4.23286619,-4.77713835
102260042329522991,4.23297704,-4.78123556
102260042329781652,4.23300906,-4.78231645
102260042329907459,4.23302466,-4.77751087
102260042332370299,4.23323701,-4.78342366
102260042336321284,4.2336256,-4.78261183
102260042339224402,4.23394646,-4.78005832
